Name,Extension,EntryNumber,SequenceNumber,ParentEntryNumber,ParentSequenceNumber,UpdateSequenceNumber,UpdateTimestamp,UpdateReasons,FileAttributes,OffsetToData,SourceFile
$TxfLog.blf,.blf,33,1,30,1,0,2021-01-01 12:42:20.9968884,DataOverwrite,Archive,0,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
$TxfLog.blf,.blf,33,1,30,1,88,2021-01-01 12:42:20.9968884,DataOverwrite|Close,Archive,88,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
$TxfLog.blf,.blf,33,1,30,1,176,2021-01-01 12:42:20.9998891,Close,Archive,176,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
$TxfLog.blf,.blf,33,1,30,1,264,2021-01-01 12:42:21.0132504,DataOverwrite,Archive,264,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
$TxfLog.blf,.blf,33,1,30,1,352,2021-01-01 12:42:21.0132504,DataOverwrite|Close,Archive,352,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
System Volume Information,,36,1,5,5,440,2021-01-01 12:45:31.4169634,SecurityChange,Hidden|System|Directory,440,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
System Volume Information,,36,1,5,5,552,2021-01-01 12:45:31.4179618,SecurityChange|Close,Hidden|System|Directory,552,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
ClientRecoveryPasswordRotation,,41,1,36,1,664,2021-01-01 12:45:31.4349632,FileCreate,Directory,664,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
ClientRecoveryPasswordRotation,,41,1,36,1,784,2021-01-01 12:45:31.4349632,FileCreate|Close,Directory,784,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
ClientRecoveryPasswordRotation,,41,1,36,1,904,2021-01-01 12:45:31.4359627,SecurityChange,Directory,904,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
ClientRecoveryPasswordRotation,,41,1,36,1,1024,2021-01-01 12:45:31.4359627,SecurityChange|Close,Directory,1024,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
AadRecoveryPasswordDelete,,42,1,36,1,1144,2021-01-01 12:45:31.4359627,FileCreate,Directory,1144,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
AadRecoveryPasswordDelete,,42,1,36,1,1256,2021-01-01 12:45:31.4359627,FileCreate|Close,Directory,1256,C:\Users\Andrew Rathbun\Documents\GitHub\Anti-Forensics-VHDX\Versions\1.0\Reformatted\Reformatted with Windows - Quick Format\KAPE Output\tout\D\$Extend\$J
